t_grover,std_grover,ram_mb,ram_peak,n,Iteraciones óptimas
0.001616,0.000343,3.612,3.875,3,34786
0.005412,0.000428,3.366,3.438,4,1462
0.023373,0.001121,3.463,3.664,5,552
0.091891,0.003489,2.856,2.856,6,9
0.193466,0.004156,3.209,3.545,7,3
0.691774,0.007446,3.520,3.680,8,1
1.476402,0.019616,3.842,3.984,9,2
2.726521,0.090540,4.410,4.542,10,7
5.228108,0.129479,5.263,5.426,11,4
6.942717,0.040591,6.789,7.055,12,1
10.279388,0.048056,9.340,9.797,13,1
20.713041,0.065815,13.241,13.988,14,1
50.911057,0.098943,20.444,21.653,15,1
133.420951,0.069918,31.974,33.999,16,1
393.739808,1.187958,52.062,56.367,17,1
1210.592186,2.736956,77.116,94.073,18,1
