n,iterations_number,t_grover,std_grover,cpu_avg,ram_avg,ram_mb,ram_peak,cores
3,529,0.00859377850094518,0.0008417214688780984,6.157500000000001,0.6026196337530274,193.890625,0.6031557161508079,16
4,100,0.01190658955,0.0005017427262583275,5.91,0.6036012740038218,194.05859375,0.6036782339966151,16
5,16,0.0168407840625,0.0005600929062970975,4.7,0.604115690797756,194.19921875,0.604115690797756,16
6,10,0.0260071372,0.0009243620106518874,3.45,0.6044235307689293,194.34765625,0.6045774507545159,16
7,10,0.037067402,0.0011600365317450615,5.5,0.6055404632959162,194.84765625,0.6061328527141278,16
8,10,0.059657497799999994,0.001866759632708138,5.6,0.6070029056852857,195.33203125,0.607639648362502,16
9,676,0.09021009799408283,0.005459713080448511,6.271649484536082,0.6097501294784428,196.01953125,0.6097783260569686,16
10,225,0.14508857421333335,0.006247831946372479,6.24922600619195,0.6098377295905945,196.0390625,0.6098390839460159,16
11,10,0.2292369829,0.002382483514566561,6.091304347826087,0.6106881094042688,196.33984375,0.610774755437345,16
12,49,0.39911068818367346,0.03967262007410657,6.25,0.6134552431733162,197.3125,0.6138004983119028,16
13,10,0.6973181231000001,0.016714600156051012,6.22,0.6181691641283756,198.91796875,0.6187947967915947,16
14,10,1.2769522709,0.038898674866810874,6.245238095238095,0.6236288101735139,200.55859375,0.6238984594715716,16
15,36,2.64357779525,0.11236316627534212,6.276638477801268,0.6355469337300865,205.453125,0.6391243864668364,16
16,10,5.9680727433000005,0.045088549290502815,6.277195945945945,0.6498246512543148,209.12890625,0.6505590211855469,16
17,10,14.8814171506,0.388008974670943,6.277732793522268,0.676053031429813,219.0078125,0.6812903614656941,16
18,10,39.2952079939,0.7060669528414482,6.282711950970378,0.7181006432410434,218.55859375,0.7219373892383683,16
19,10,107.9980509142,1.075121017871657,6.2848346953937595,0.7767776357898892,230.3203125,0.7953329192075617,16
20,10,303.29598230209996,5.190781594189881,6.284775763200636,0.8430345781543053,221.05859375,0.9096549632390469,16
21,10,956.2578722605,17.303362688341483,6.286973457645626,0.9702601896550167,247.32421875,1.0479034639773768,16
22,10,3219.4774084112,33.848607948067325,6.292809069473289,1.1752214380151853,303.859375,1.4477875865313856,16
