n,iterations_number,t_grover,std_grover,cpu_avg,ram_avg,ram_mb,ram_peak,cores
3,34225,0.005549128471731191,0.001168874075372465,6.289289678135405,0.4394295800458295,142.04296875,0.4416611933941601,16
4,25,0.01022173332,0.0012627274192488957,6.033333333333334,0.44189207334448444,142.05078125,0.44189207334448444,16
5,49,0.012614236387755101,0.0005306044270617557,5.666666666666667,0.44191637649715015,142.05859375,0.44191637649715015,16
6,10,0.0206105477,0.0005815190595250512,5.449999999999999,0.4424753490084618,142.23828125,0.4424753490084618,16
7,10,0.030342374,0.0004789087668560219,5.433333333333334,0.4471010490658374,144.46875,0.4494138990945253,16
8,10,0.051896002200000006,0.00034844143579909284,5.859999999999999,0.45067280240260976,144.97265625,0.45098145244146437,16
9,625,0.07536653384639999,0.012043028692904611,6.26879271070615,0.45293476259579585,145.61328125,0.45297431096005353,16
10,81,0.12679487937037037,0.01770012782066963,6.266666666666667,0.4529698010966723,145.61328125,0.45297431096005353,16
11,121,0.20582290821487603,0.017910865289189334,6.279835390946502,0.4533034036507801,145.84765625,0.4537034055400252,16
12,81,0.3653857898518519,0.029481469714640978,6.264893617021277,0.4560324861953172,146.6171875,0.45609726607759876,16
13,36,0.6368267588611112,0.04509447710473914,6.2660633484162895,0.46203861009126884,148.66796875,0.4624768436523507,16
14,16,1.0653567688125,0.042742593306436094,6.273493975903615,0.4718166034329317,151.8046875,0.472234559447638,16
15,10,1.943769384,0.054093060841493824,6.265240641711229,0.4859442018004614,156.63671875,0.4872660593713868,16
16,10,3.7760940759,0.06043697343171551,6.2727272727272725,0.5062509277678456,163.62890625,0.5090173810072077,16
17,10,8.3618696563,0.051510179675925825,6.277709359605911,0.552736640628558,179.23828125,0.5575750800333197,16
18,10,24.784010457599997,0.20998143533665423,12.33527242933224,0.6140153205213352,193.68359375,0.6209090958801903,16
19,10,89.2804227918,0.6861120166660142,24.8251586582049,0.7090969750417103,221.51953125,0.7495699860925209,16
20,10,263.9611195954,3.484035737924022,49.81403939940862,0.8600531411073121,246.37109375,0.9340673695543471,16
21,10,934.9626761236,9.770492506738407,99.70020643422897,1.0803146586442136,316.62890625,1.274979843572758,16
22,10,3204.4645228051,19.199978927806207,99.85967958422921,1.4146936748761931,410.62890625,1.773911416223691,16
