n,iterations_number,t_grover,std_grover,cpu_avg,ram_avg,ram_mb,ram_peak,cores
3,61504,0.001982443885698491,0.08067737662365931,85.47383177570111,0.7973193737849055,269.2578125,0.8376081566240976,16
4,49,0.0030106821836734694,0.00013040110542487002,43.8,0.8384101606620665,269.515625,0.8384101606620665,16
5,10,0.0047977495,0.00012416493233084058,31.8,0.8384344638147322,269.5234375,0.8384344638147322,16
6,10,0.0081597035,9.152336292657132e-05,21.3,0.8387747079520523,269.6328125,0.8387747079520523,16
7,10,0.0126083735,0.000271554169563623,64.3,0.839321528887031,269.80859375,0.839321528887031,16
8,10,0.0210288049,0.0005343014459159528,79.36666666666666,0.8401964423829971,270.08984375,0.8401964423829971,16
9,10,0.033532799,0.0008929910865181627,83.1,0.8413386905582859,270.45703125,0.8413386905582859,16
10,10,0.0566233169,0.00024370603127878382,91.31666666666666,0.8435745806035323,271.17578125,0.8435745806035323,16
11,10,0.0907721173,0.0009174635669093412,94.03,0.8475359944880447,272.44921875,0.847535994488045,16
12,25,0.15346702996,0.005060849269158829,98.65641025641028,0.8539171299571993,274.50390625,0.8539277236391298,16
13,10,0.2601563059,0.0015670434039514207,98.1346153846154,0.862434294440453,277.2578125,0.8624945849537966,16
14,10,0.45003282710000003,0.005577481482878519,98.7488888888889,0.869275974652621,279.50390625,0.8694817413451917,16
15,10,0.8050945525,0.0013926098055548838,99.6012345679012,0.8915418030315442,286.65625,0.89173127761066,16
16,10,1.4929253903,0.0024525100708580657,98.4590604026844,0.9040891066991447,292.6484375,0.9103717957052684,16
17,10,2.8912977473000003,0.0054918475610208715,94.52906574394468,0.9594482703327475,310.265625,0.9651632533901379,16
18,10,5.9009173693,0.10115422583592243,83.16553480475388,1.037113869631074,335.3046875,1.0428604324624502,16
19,25,12.341104244879999,0.5180128253083922,80.46523716699164,1.1350918752674621,353.63671875,1.15070567241659,16
20,10,28.1091756477,0.43277178339408284,82.5123038516405,1.3146039124123594,430.01171875,1.3376819774503197,16
21,10,72.4725444664,0.9970392917642311,82.79525987525955,1.6935885782302642,520.34765625,1.7182571966191884,16
22,25,483.96695177844,25.655034006112942,69.535655645668,1.9645982332582062,565.13671875,2.2153538812438596,16
23,10,1434.7446764363,21.111888612643476,72.87818160127519,2.8601267950095988,815.05859375,3.31343107656283,16
24,10,4014.6959576869,75.91003079366752,74.55661663468719,4.724826938657438,1317.08984375,5.66781114263095,16
