n,iterations_number,t_grover,std_grover,cpu_avg,ram_avg,ram_mb,ram_peak,cores
3,10,11.431920255200001,0.01800940755713419,99.9126267281106,0.3344672063839734,118.01171875,0.3671350065434393,16
4,10,20.928950736,0.051349648354728404,99.90105793450883,0.42124902122328656,152.8515625,0.4755219226786528,16
5,10,33.189845985,0.174719571134387,99.96534307496826,0.5572405133409177,205.41015625,0.6390319525698175,16
6,10,57.486267442300004,0.22194435447848546,99.9861752841951,0.8215943659373074,322.76171875,1.0041132099455417,16
7,10,87.0655404435,0.25806608592894464,99.97876256205353,1.2571746540773943,486.34375,1.5130176708710192,16
8,10,145.52179617020002,0.27936036567218125,99.98187350575951,1.9201112772829916,748.5937499999999,2.3288786420173015,16
9,10,230.4206645861,1.0810387420679777,99.95914436055656,3.07349456641188,1233.94140625,3.8387974605938395,16
10,10,375.87620337040005,1.4668771155683231,99.91833230459595,5.01659597484904,1990.36328125,6.192029435937183,16
11,10,582.2160269455,2.1311411067389523,99.90877777577998,7.902896088475166,3091.14453125,9.616565030387589,16
12,10,906.2299173743,2.830451974942055,99.91756877800843,12.20034847767482,4754.8515625,14.792365351525905,16
13,10,1419.8801718772,5.2501555744746415,99.93176259180399,18.582141442443056,7192.37890625,22.375524268084508,16
14,10,2244.8064055331,7.045796117335093,99.93432066059616,27.975769568812236,10792.7578125,33.57634411503037,16
15,10,3689.27744351,6.653088324550615,99.92864037857065,41.82921697044158,16107.59375,50.11079915998013,16
16,10,6443.868590767401,9.957706539654625,99.93029816096141,62.07128408043529,23810.8671875,74.07684886338352,16
