n,iterations_number,t_grover,std_grover,cpu_avg,ram_avg,ram_mb,ram_peak,cores
3,1024,1.69851328125e-05,6.592920877050133e-06,1.4,0.0,0.0,0.0,32
4,324,3.181790740740741e-05,1.7223163826896565e-05,1.1,0.0,0.0,0.0,32
5,81,4.8939283950617285e-05,5.129961038435302e-06,0.5,0.0,0.0,0.0,32
6,10,8.786739999999999e-05,2.3737170195473788e-06,0.0,0.30060082492663315,96.625,0.30060082492663315,32
7,49,0.00015375426530612245,2.455067077221407e-05,0.0,0.0,0.0,0.0,32
8,81,0.00034363072839506176,3.0260039484447282e-05,0.5,0.30135427136686,96.8671875,0.30135427136686,32
9,49,0.0007817913469387756,4.2761400229719943e-05,0.4,0.3021563272548434,97.125,0.3021563272548434,32
10,10,0.0021018466000000003,5.938957032117115e-05,0.9,0.30295838314282686,97.3828125,0.30295838314282686,32
11,10,0.006119684,0.000233138083721977,0.6,0.30376043903081024,97.640625,0.30376043903081024,32
12,100,0.01412968664,6.115570055088153e-05,3.022222222222222,0.3107845042316347,99.8984375,0.31078450423163473,32
13,16,0.044442390625,0.000196970733604386,91.25555555555555,0.32401842638336115,104.15234375,0.3240184263833611,32
14,10,0.07422793329999999,0.0012347025339685892,81.375,0.3247961775474662,104.40234375,0.3247961775474662,32
15,10,0.12621253059999998,0.00016534913870165088,93.36,0.33121262465133355,106.46484375,0.33121262465133355,32
16,10,0.24281903230000002,0.00104625193705702,90.18,0.34083729530713464,109.55859375000001,0.3408372953071346,32
17,10,0.4800079987,0.00027267161263568393,96.47,0.3504498136009965,112.6484375,0.3504498136009964,32
18,10,1.0125489665,0.02930902668273571,97.81,0.37724212596822426,122.15234375,0.3800165101989305,32
19,10,2.7428712803,0.05932060949344239,89.14444444444445,0.42379201842859776,136.30859374999997,0.4240566698663835,32
20,10,7.189255938800001,0.08732940159542286,99.54444444444444,0.4735437882074479,152.265625,0.47369906838778136,32
21,10,21.0350504223,0.3790008026628689,86.2,0.5786781150249182,186.57812499999997,0.5804454156612106,32
22,25,272.55142284656,8.363931651656044,94.31764705882354,0.7431476709058322,245.703125,0.7643835659720741,32
23,10,857.8304642159001,7.038238647211666,83.83333333333333,1.0484348993312516,337.59765625,1.0502678805904055,32
24,10,2503.2467449675,28.074461987385924,88.33333333333334,1.6175117803983943,520.8320312499999,1.6203108744317098,32
25,10,7267.1372004166,80.4059153723286,78.64000000000001,2.662634582417327,856.3281249999999,2.6640407842988565,32
