t_grover,std_grover,ram_mb,ram_peak,n,Iteraciones óptimas
5.799587000000001,0.000152,16457,3949,3,36238
1.940925,0.000055,12542,2844,4,24
2.028994,0.000088,16147,2838,5,18
1.9364000000000001,0.000127,15896,2864,6,11
1.9489290000000001,0.005871,14.213000000000001,3527,7,4135
1.9596,0.000191,14.402000000000001,2852,8,6
2.02645,0.000273,19.461000000000002,2864,9,8
2.093769,0.000180,15.09,2832,10,3
3.455587,0.000115,20323,2871,11,1
4.108672,0.000125,15.309999999999999,2883,12,1
3.485688,0.000514,13137,2841,13,12
2.055331,0.000430,14212,2891,14,3
2.132588,0.001016,17364,2891,15,8
2.128449,0.002101,16533,2925,16,14
2.178666,0.003900,14323,2899,17,10
2.630253,0.005316,18814,7355,18,5
2.549479,0.004693,23597,11380,19,1
3.065804,0.005519,37038,19499,20,1
4.1704680000000005,0.024061,47.303000000000004,35489,21,1
6.582038000000001,0.038900,84648,67606,22,1
11.635384,0.042575,145844,133032,23,1
22.466559,0.042893,273307,260977,24,1
45.455495,0.059283,527992,516801,25,1
94.18366200000001,0.113713,1041782,1028949,26,1
197.023911,0.135255,2066636,2054117,27,1
414.03262800000005,0.318220,4116946,4106672,28,1
873.644567,0.806434,8210.613000000001,8199434,29,1
1830.896371,2.371733,16409307,16399242,30,1
