n,iterations_number,t_grover,std_grover,cpu_avg,ram_avg,ram_mb,ram_peak,cores
3,61504,0.00034893778385145684,0.017872588319953607,1.1,0.4786509084591964,163.87109375,0.5097586891072284,16
4,225,0.00046644073777777777,2.8639443954842067e-05,0.0,0.5068058556995275,162.921875,0.5068058556995275,16
5,10,0.0011911953999999998,3.4281128109922064e-05,0.0,0.5068301588551464,162.92578125,0.5068301588551464,16
6,64,0.0012834764375,0.0001769147374324414,0.0,0.0,162.9296875,0.5068423104329559,16
7,144,0.0019490940069444445,0.00024143559857745604,4.8,0.5068423104329559,162.953125,0.5068423104329559,16
8,16,0.0026427309375,0.00010135488113716657,3.5,0.5069152198998127,162.953125,0.5069152198998127,16
9,64,0.0043101749375,0.00019214922170690015,4.8,0.5069152198998127,162.953125,0.5069152198998127,16
10,10,0.0076125869,0.00021387838945970624,3.3,0.5069152198998127,162.953125,0.5069152198998127,16
11,10,0.0143721996,0.0001953045521277531,4.85,0.5070124325222883,162.984375,0.5070124325222883,16
12,10,0.0291073635,0.0007618477228284826,5.333333333333333,0.5070124325222883,162.984375,0.5070124325222883,16
13,10,0.0601489352,0.00016761121540292119,5.866666666666667,0.5070124325222883,162.984375,0.5070124325222883,16
14,16,0.129342397125,0.005008915586288432,6.180952380952381,0.507070297178524,163.00390625,0.5070731904113357,16
15,10,0.2754736588,0.0011415322143408636,6.224999999999999,0.5074381717305418,163.140625,0.5074984956346672,16
16,10,0.6066719169,0.008754499091806547,6.231147540983605,0.5102975418609115,164.11328125,0.510524238509225,16
17,10,1.3160392022,0.02450095426835341,6.256060606060611,0.5218954456740671,168.08984375,0.5228945447192646,16
18,10,2.8440316868,0.02533382375153163,6.249647887323951,0.5443268900807167,168.2265625,0.5478174308064856,16
19,10,6.268254997600001,0.07934240036772229,6.277279999999969,0.5945893196703238,192.203125,0.5979062345371172,16
20,10,13.8681870876,0.10912483439763179,6.272017353579163,0.6834881715669883,192.3515625,0.6975248694191449,16
21,10,31.409322825700002,0.056717883241569324,6.265091025231661,0.7881913896254256,192.6796875,0.8979529938085281,16
22,10,67.2873579711,0.09726807984550591,6.271558538404051,1.0836147732172012,226.38671875,1.3001580677241455,16
23,10,144.2003665182,0.07671835500741114,6.271575723830117,1.6648362695082164,291.0078125,2.09862609400655,16
24,10,307.7059496042,0.12454494427776613,6.274417770240341,2.767984576225608,391.08984375,3.692499948963373,16
25,10,661.5367609129,0.17729969030637566,6.269660381940394,5.061402309331455,649.890625,6.796231649902349,16
26,10,1393.3552734105,0.7926585634859444,6.27129235532941,9.71006604760622,1167.77734375,13.186150992589482,16
27,10,3050.5015776316,1.2261622958175682,6.27067253124844,19.005450318360104,2206.16796875,25.971688767956387,16
28,10,6696.984589933099,76.68620434544759,6.27120625433574,37.78598639865366,4281.70703125,51.53695586449727,16
