n,Mean_Combined_s,Std_Combined_s,Mean_Compilation_s,Std_Compilation_s,Mean_Resultados_s,Std_Resultados_s,Mean_Memoria_Resultados_MB,Mean_Memoria_Combined_MB
3,2.069789346123619,1.109474635893469,2.0569754469322774,1.09700139524758,0.009929040423031728,0.016767157099396034,2.968580163043478,82.96875
4,1.9665469833333333,0.06376142330929054,1.9462272768,0.03893304968503034,0.017478333333333332,0.02579104021748638,2.8511284722222223,82.859375
5,1.9492838327,0.02641255475762926,1.9354320327,0.01914576670689045,0.013851800000000001,0.01759661310088456,2.853125,82.853515625
6,2.0013613405,0.03069481116537487,1.9770923404999998,0.017794431458921248,0.024269,0.021936162816479803,3.236328125,83.236328125
7,2.0103315728,0.03777196912948107,1.9882748728,0.030945045796855624,0.0220567,0.017703319249664895,2.83984375,83.83984375
8,2.098987361984375,0.19178384192990403,2.069148611984375,0.1925167513472868,0.02983875,0.019598542025462237,2.94677734375,84.94677734375
9,2.1060906854,0.056606555254446626,2.0770794854,0.050403342834390644,0.0290112,0.01299800349455425,3.245703125,85.245703125
10,2.1296841015,0.0179619778534014,2.1002544015,0.017159209133393263,0.0294297,0.0035147462386667717,2.848046875,86.848046875
11,2.1883605832561983,0.21051888352913553,2.1506064510247933,0.2074182760781349,0.03775413223140496,0.018211796998073414,2.88723527892562,82.8876953125
12,2.2130709287,0.03402822981988265,2.1688997287,0.03416972519060243,0.0441712,0.007344920811917127,3.25703125,83.25703125
13,2.2496059613,0.0328996429629898,2.1951871613,0.01514259536033895,0.0544188,0.023575306053392205,2.864453125,83.864453125
14,2.3442734037000004,0.04353161059676297,2.2642583037,0.04295510324113526,0.0800151,0.007516609792098207,3.268359375,83.268359375
15,2.4226419626,0.044624272290538745,2.2997129626,0.04505603799865886,0.122929,0.016200799568745566,2.883984375,83.883984375
16,2.62685364184375,0.12494520514891068,2.39620012621875,0.12316003247516975,0.230653515625,0.011464101797851326,2.976806640625,84.976806640625
17,2.8425194055,0.03232197646211466,2.4171432055,0.02682839413095227,0.42537620000000004,0.01461617552044461,2.970703125,84.970703125
18,3.4486371823,0.03249869442101099,2.5202001823,0.025723985760859755,0.928437,0.018829736624109576,7.02950205078125,90.02950205078125
19,4.4570125626,0.08083948360056767,2.5522369626,0.051531063362663276,1.9047756,0.039282526336499514,10.91595234375,91.91595234375
20,6.9635630661,0.08294842063715005,2.6668724661,0.02555714573572537,4.2966906,0.0817053713142533,20.000383984375,100.000383984375
21,11.6551488471,0.14147258802075413,2.7249743471000003,0.023874054656651787,8.930174500000001,0.13241805076536953,36.0947015625,123.0947015625
22,24.029203881,0.3994032359674025,2.905301381,0.06988465469939664,21.1239025,0.3586090629384749,67.4119375,144.4119375
23,46.7670783411,0.5040682279497387,2.9485618411,0.029908995029688027,43.8185165,0.49719906952988935,131.50459541015624,201.50459541015624
24,102.85256565009999,1.3453040920774793,3.1505453501000003,0.05341289336504639,99.7020203,1.3016698388225154,259.87735048828125,330.87735048828125
25,209.12916325540002,1.105889414796991,3.1985185554,0.03834863856578003,205.93064470000002,1.108410123512459,516.4320796874999,594.4320796875
26,469.3817457087,4.576683960599249,3.4120953086999997,0.11257606243427665,465.9696504,4.529017382387661,1028.7465291992187,1150.7465291992187
27,971.1705669498,10.947037892212883,3.4553703498,0.06416915900399442,967.7151966,10.95097724299939,2052.510366894531,2300.510366894531
28,2167.1464581372,25.04703731809345,3.7109622372,0.20091584668880205,2163.4354959,24.98434708990255,4101.328395996094,4600.328395996094
29,4505.2178703548,60.538800369257494,11.211489154799999,12.572566993746044,4494.0063812,54.45617502576416,8198.588729980469,9200.588729980469
