n,iterations_number,t_grover,std_grover,cpu_avg,ram_avg,ram_mb,ram_peak,cores
3,61504,0.001831313571312435,0.03282722788884474,15.986527478202927,0.5913053389372286,237.03125,0.7373090455726643,16
4,10,0.004095185,9.200977855641215e-05,15.455135135135137,0.5797487826646653,183.56640625,0.6737076950464707,16
5,25,0.00525883992,0.0001988624792622446,15.575377969762421,0.5578966656211759,179.4609375,0.5587294797849414,16
6,10,0.0095841065,0.0001752771252168342,15.087755102040804,0.5556274179389482,178.62109375,0.5556551309727276,16
7,10,0.0120456373,0.0001834077297117303,15.082653061224496,0.5556629030469279,178.6328125,0.5556915857017262,16
8,10,0.0205887545,0.00027318303699259955,14.18139534883721,0.5546533889312214,178.17578125,0.5557158888543919,16
9,169,0.028201362443786984,0.0016187439994722937,14.29586092715224,0.5572457278780615,179.1640625,0.5604914583532062,16
10,10,0.0508493717,0.0005675970279064482,13.5536170212766,0.5512538817338042,177.20703125,0.551256260340232,16
11,25,0.0805947076,0.0034247689528319643,13.21928104575163,0.5513621498117763,177.265625,0.5514385339852249,16
12,10,0.16744553280000002,0.0027745095509728803,12.57416974169742,0.5521148674929579,178.58203125,0.555533615209399,16
13,10,0.3088992406,0.010034633986258805,12.181660899653975,0.559150496164943,180.55859375,0.5616823128338266,16
14,10,0.6830239484,0.013340559976850842,11.07042253521127,0.5614168162080624,180.5859375,0.5617673738681567,16
15,10,1.3680625861,0.03490409407860528,10.332075471698115,0.5617673738681522,180.5859375,0.5617673738681567,16
16,10,3.1591709974,0.025411602244190624,8.975196232339087,0.5663410593287761,182.56640625,0.5679282230689171,16
17,10,6.6657967613,0.136353108550865,8.000399600399607,0.5646849129356287,184.00390625,0.5724000031594099,16
18,10,15.304966131299999,0.1923119180468566,7.179671784012683,0.5852196979372337,189.97265625,0.5909676117960212,16
19,10,32.138887089099995,0.7436012445050059,6.764475524475556,0.6235741325412995,200.671875,0.6265595788749706,16
20,10,78.5854264077,1.2274750275818407,6.486166727338808,0.6583963143161968,194.80078125,0.7051438230195817,16
21,10,164.8432615087,2.2592785072055763,6.379723474958232,0.8033671754387646,228.5078125,0.9113439218118972,16
22,10,373.2077765693,3.01204403591747,6.328557005075473,1.01012715088674,263.921875,1.2203585079565484,16
23,10,769.4893036304001,9.271230826775875,6.3070607148882525,1.409123557695448,331.90625,1.827815808836262,16
24,10,1727.4830538222,12.365628788984374,6.260238084265902,2.208609087804851,469.2421875,3.053010644173289,16
25,10,3551.7769547643998,45.71190277812042,6.22977129513622,3.7888512384720774,737.7265625,5.479546770505937,16
26,10,7857.7638732021,56.903682030821564,6.242118183885863,6.96084230415667,1284.69140625,10.368089474486855,16
